x t u
0 0 0
0.125 0 0.382683
0 0.125 0
0.125 0.125 0.40484
0.25 0 0.707107
0.25 0.125 0.748047
0 0.25 0
0.125 0.25 0.422585
0.25 0.25 0.780835
0.375 0 0.92388
0.375 0.125 0.977371
0.5 0 1
0.5 0.125 1.0579
0.375 0.25 1.02021
0.5 0.25 1.10427
0 0.375 0
0.125 0.375 0.436667
0.25 0.375 0.806856
0 0.5 0
0.125 0.5 0.44739
0.25 0.5 0.826668
0.375 0.375 1.05421
0.5 0.375 1.14107
0.375 0.5 1.08009
0.5 0.5 1.16909
0.625 0 0.92388
0.625 0.125 0.977371
0.75 0 0.707107
0.75 0.125 0.748047
0.625 0.25 1.02021
0.75 0.25 0.780835
0.875 0 0.382683
0.875 0.125 0.40484
1 0 1.22465e-16
1 0.125 1.29426e-16
0.875 0.25 0.422585
1 0.25 1.35093e-16
0.625 0.375 1.05421
0.75 0.375 0.806856
0.625 0.5 1.08009
0.75 0.5 0.826668
0.875 0.375 0.436667
1 0.375 1.39599e-16
0.875 0.5 0.44739
1 0.5 1.43063e-16
0 0.625 0
0.125 0.625 0.45532
0.25 0.625 0.841322
0 0.75 0
0.125 0.75 0.460475
0.25 0.75 0.850847
0.375 0.625 1.09924
0.5 0.625 1.18981
0.375 0.75 1.11169
0.5 0.75 1.20328
0 0.875 0
0.125 0.875 0.463582
0.25 0.875 0.856587
0 1 0
0.125 1 0.46426
0.25 1 0.85784
0.375 0.875 1.11919
0.5 0.875 1.2114
0.375 1 1.12082
0.5 1 1.21317
0.625 0.625 1.09924
0.75 0.625 0.841322
0.625 0.75 1.11169
0.75 0.75 0.850847
0.875 0.625 0.45532
1 0.625 1.45595e-16
0.875 0.75 0.460475
1 0.75 1.47295e-16
0.625 0.875 1.11919
0.75 0.875 0.856587
0.625 1 1.12082
0.75 1 0.85784
0.875 0.875 0.463582
1 0.875 1.48255e-16
0.875 1 0.46426
1 1 1.48557e-16
