x t u
0 0 0
0.03125 0 0.0980171
0 0.03125 0
0.03125 0.03125 0.0995157
0.0625 0 0.19509
0.0625 0.03125 0.198073
0 0.0625 0
0.03125 0.0625 0.100943
0.0625 0.0625 0.200914
0.09375 0 0.290285
0.09375 0.03125 0.294723
0.125 0 0.382683
0.125 0.03125 0.388534
0.09375 0.0625 0.29895
0.125 0.0625 0.394107
0 0.09375 0
0.03125 0.09375 0.102302
0.0625 0.09375 0.20362
0 0.125 0
0.03125 0.125 0.103594
0.0625 0.125 0.206191
0.09375 0.09375 0.302976
0.125 0.09375 0.399414
0.09375 0.125 0.306802
0.125 0.125 0.404459
0.15625 0 0.471397
0.15625 0.03125 0.478604
0.1875 0 0.55557
0.1875 0.03125 0.564064
0.15625 0.0625 0.485469
0.1875 0.0625 0.572155
0.21875 0 0.634393
0.21875 0.03125 0.644092
0.25 0 0.707107
0.25 0.03125 0.717918
0.21875 0.0625 0.653332
0.25 0.0625 0.728216
0.15625 0.09375 0.492006
0.1875 0.09375 0.57986
0.15625 0.125 0.49822
0.1875 0.125 0.587183
0.21875 0.09375 0.662129
0.25 0.09375 0.738022
0.21875 0.125 0.670491
0.25 0.125 0.747342
0 0.15625 0
0.03125 0.15625 0.104822
0.0625 0.15625 0.208635
0 0.1875 0
0.03125 0.1875 0.105986
0.0625 0.1875 0.210951
0.09375 0.15625 0.310438
0.125 0.15625 0.409252
0.09375 0.1875 0.313885
0.125 0.1875 0.413796
0 0.21875 0
0.03125 0.21875 0.107089
0.0625 0.21875 0.213147
0 0.25 0
0.03125 0.25 0.108132
0.0625 0.25 0.215222
0.09375 0.21875 0.317152
0.125 0.21875 0.418103
0.09375 0.25 0.32024
0.125 0.25 0.422173
0.15625 0.15625 0.504124
0.1875 0.15625 0.594141
0.15625 0.1875 0.509722
0.1875 0.1875 0.600738
0.21875 0.15625 0.678437
0.25 0.15625 0.756199
0.21875 0.1875 0.68597
0.25 0.1875 0.764595
0.15625 0.21875 0.515027
0.1875 0.21875 0.606991
0.15625 0.25 0.520041
0.1875 0.25 0.6129
0.21875 0.21875 0.693109
0.25 0.21875 0.772553
0.21875 0.25 0.699857
0.25 0.25 0.780074
0.28125 0 0.77301
0.28125 0.03125 0.784829
0.3125 0 0.83147
0.3125 0.03125 0.844182
0.28125 0.0625 0.796087
0.3125 0.0625 0.856291
0.34375 0 0.881921
0.34375 0.03125 0.895405
0.375 0 0.92388
0.375 0.03125 0.938005
0.34375 0.0625 0.908249
0.375 0.0625 0.95146
0.28125 0.09375 0.806807
0.3125 0.09375 0.867822
0.28125 0.125 0.816996
0.3125 0.125 0.878781
0.34375 0.09375 0.920479
0.375 0.09375 0.964272
0.34375 0.125 0.932104
0.375 0.125 0.97645
0.40625 0 0.95694
0.40625 0.03125 0.971571
0.4375 0 0.980785
0.4375 0.03125 0.99578
0.40625 0.0625 0.985507
0.4375 0.0625 1.01006
0.46875 0 0.995185
0.46875 0.03125 1.0104
0.5 0 1
0.5 0.03125 1.01529
0.46875 0.0625 1.02489
0.5 0.0625 1.02985
0.40625 0.09375 0.998778
0.4375 0.09375 1.02367
0.40625 0.125 1.01139
0.4375 0.125 1.03659
0.46875 0.09375 1.03869
0.5 0.09375 1.04372
0.46875 0.125 1.05181
0.5 0.125 1.0569
0.28125 0.15625 0.826678
0.3125 0.15625 0.889195
0.28125 0.1875 0.835857
0.3125 0.1875 0.899068
0.34375 0.15625 0.94315
0.375 0.15625 0.988021
0.34375 0.1875 0.953622
0.375 0.1875 0.998991
0.28125 0.21875 0.844556
0.3125 0.21875 0.908426
0.28125 0.25 0.852779
0.3125 0.25 0.91727
0.34375 0.21875 0.963547
0.375 0.21875 1.00939
0.34375 0.25 0.972928
0.375 0.25 1.01922
0.40625 0.15625 1.02338
0.4375 0.15625 1.04888
0.40625 0.1875 1.03474
0.4375 0.1875 1.06052
0.46875 0.15625 1.06428
0.5 0.15625 1.06943
0.46875 0.1875 1.07609
0.5 0.1875 1.0813
0.40625 0.21875 1.04551
0.4375 0.21875 1.07156
0.40625 0.25 1.05569
0.4375 0.25 1.08199
0.46875 0.21875 1.08729
0.5 0.21875 1.09255
0.46875 0.25 1.09788
0.5 0.25 1.10319
0 0.28125 0
0.03125 0.28125 0.109117
0.0625 0.28125 0.217183
0 0.3125 0
0.03125 0.3125 0.110045
0.0625 0.3125 0.21903
0.09375 0.28125 0.323158
0.125 0.28125 0.42602
0.09375 0.3125 0.325905
0.125 0.3125 0.429642
0 0.34375 0
0.03125 0.34375 0.110918
0.0625 0.34375 0.220769
0 0.375 0
0.03125 0.375 0.111738
0.0625 0.375 0.222399
0.09375 0.34375 0.328493
0.125 0.34375 0.433053
0.09375 0.375 0.330919
0.125 0.375 0.436251
0.15625 0.28125 0.524779
0.1875 0.28125 0.618485
0.15625 0.3125 0.529241
0.1875 0.3125 0.623744
0.21875 0.28125 0.706234
0.25 0.28125 0.787182
0.21875 0.3125 0.712239
0.25 0.3125 0.793875
0.15625 0.34375 0.533444
0.1875 0.34375 0.628696
0.15625 0.375 0.537383
0.1875 0.375 0.633339
0.21875 0.34375 0.717894
0.25 0.34375 0.800179
0.21875 0.375 0.723195
0.25 0.375 0.806087
0 0.40625 0
0.03125 0.40625 0.112506
0.0625 0.40625 0.223928
0 0.4375 0
0.03125 0.4375 0.113222
0.0625 0.4375 0.225353
0.09375 0.40625 0.333194
0.125 0.40625 0.439251
0.09375 0.4375 0.335315
0.125 0.4375 0.442047
0 0.46875 0
0.03125 0.46875 0.11389
0.0625 0.46875 0.226684
0 0.5 0
0.03125 0.5 0.114509
0.0625 0.5 0.227915
0.09375 0.46875 0.337294
0.125 0.46875 0.444656
0.09375 0.5 0.339127
0.125 0.5 0.447072
0.15625 0.40625 0.541077
0.1875 0.40625 0.637693
0.15625 0.4375 0.544521
0.1875 0.4375 0.641752
0.21875 0.40625 0.728167
0.25 0.40625 0.811629
0.21875 0.4375 0.732803
0.25 0.4375 0.816796
0.15625 0.46875 0.547736
0.1875 0.46875 0.645541
0.15625 0.5 0.550712
0.1875 0.5 0.649048
0.21875 0.46875 0.737129
0.25 0.46875 0.821617
0.21875 0.5 0.741133
0.25 0.5 0.826081
0.28125 0.28125 0.860549
0.3125 0.28125 0.925628
0.28125 0.3125 0.867866
0.3125 0.3125 0.933499
0.34375 0.28125 0.981793
0.375 0.28125 1.0285
0.34375 0.3125 0.990141
0.375 0.3125 1.03725
0.28125 0.34375 0.874757
0.3125 0.34375 0.94091
0.28125 0.375 0.881216
0.3125 0.375 0.947858
0.34375 0.34375 0.998003
0.375 0.34375 1.04548
0.34375 0.375 1.00537
0.375 0.375 1.0532
0.40625 0.28125 1.06531
0.4375 0.28125 1.09185
0.40625 0.3125 1.07437
0.4375 0.3125 1.10114
0.46875 0.28125 1.10788
0.5 0.28125 1.11324
0.46875 0.3125 1.1173
0.5 0.3125 1.12271
0.40625 0.34375 1.0829
0.4375 0.34375 1.10988
0.40625 0.375 1.09089
0.4375 0.375 1.11808
0.46875 0.34375 1.12617
0.5 0.34375 1.13162
0.46875 0.375 1.13449
0.5 0.375 1.13998
0.28125 0.40625 0.887275
0.3125 0.40625 0.954375
0.28125 0.4375 0.892922
0.3125 0.4375 0.96045
0.34375 0.40625 1.01228
0.375 0.40625 1.06044
0.34375 0.4375 1.01873
0.375 0.4375 1.06719
0.28125 0.46875 0.898194
0.3125 0.46875 0.96612
0.28125 0.5 0.903074
0.3125 0.5 0.971369
0.34375 0.46875 1.02474
0.375 0.46875 1.07349
0.34375 0.5 1.03031
0.375 0.5 1.07933
0.40625 0.40625 1.09839
0.4375 0.40625 1.12576
0.40625 0.4375 1.10538
0.4375 0.4375 1.13293
0.46875 0.40625 1.14229
0.5 0.40625 1.14782
0.46875 0.4375 1.14956
0.5 0.4375 1.15512
0.40625 0.46875 1.11191
0.4375 0.46875 1.13962
0.40625 0.5 1.11795
0.4375 0.5 1.14581
0.46875 0.46875 1.15635
0.5 0.46875 1.16194
0.46875 0.5 1.16263
0.5 0.5 1.16826
0.53125 0 0.995185
0.53125 0.03125 1.0104
0.5625 0 0.980785
0.5625 0.03125 0.99578
0.53125 0.0625 1.02489
0.5625 0.0625 1.01006
0.59375 0 0.95694
0.59375 0.03125 0.971571
0.625 0 0.92388
0.625 0.03125 0.938005
0.59375 0.0625 0.985507
0.625 0.0625 0.95146
0.53125 0.09375 1.03869
0.5625 0.09375 1.02367
0.53125 0.125 1.05181
0.5625 0.125 1.03659
0.59375 0.09375 0.998778
0.625 0.09375 0.964272
0.59375 0.125 1.01139
0.625 0.125 0.97645
0.65625 0 0.881921
0.65625 0.03125 0.895405
0.6875 0 0.83147
