x t u
0.0390625 0.101562 0.128167
0.046875 0.101562 0.15363
0.0390625 0.109375 0.128573
0.046875 0.109375 0.154117
0.0546875 0.101562 0.179001
0.0625 0.101562 0.204264
0.0546875 0.109375 0.179568
0.0625 0.109375 0.204911
0.0390625 0.117188 0.128973
0.046875 0.117188 0.154597
0.0390625 0.125 0.129369
0.046875 0.125 0.155071
0.0546875 0.117188 0.180128
0.0625 0.117188 0.20555
0.0546875 0.125 0.18068
0.0625 0.125 0.20618
0.0703125 0.0703125 0.226406
0.078125 0.0703125 0.251081
0.0703125 0.078125 0.22717
0.078125 0.078125 0.251928
0.0859375 0.0703125 0.275605
0.09375 0.0703125 0.299963
0.0859375 0.078125 0.276535
0.09375 0.078125 0.300975
0.0703125 0.0859375 0.227924
0.078125 0.0859375 0.252764
0.0703125 0.09375 0.228669
0.078125 0.09375 0.25359
0.0859375 0.0859375 0.277453
0.09375 0.0859375 0.301974
0.0859375 0.09375 0.278359
0.09375 0.09375 0.302961
0.101562 0.0703125 0.32414
0.109375 0.0703125 0.348122
0.101562 0.078125 0.325233
0.109375 0.078125 0.349296
0.117188 0.0703125 0.371894
0.125 0.0703125 0.395443
0.117188 0.078125 0.373148
0.125 0.078125 0.396776
0.101562 0.0859375 0.326313
0.109375 0.0859375 0.350456
0.101562 0.09375 0.327379
0.109375 0.09375 0.351601
0.117188 0.0859375 0.374387
0.125 0.0859375 0.398093
0.117188 0.09375 0.375611
0.125 0.09375 0.399394
0.0703125 0.101562 0.229404
0.078125 0.101562 0.254406
0.0703125 0.109375 0.230131
0.078125 0.109375 0.255212
0.0859375 0.101562 0.279255
0.09375 0.101562 0.303935
0.0859375 0.109375 0.280139
0.09375 0.109375 0.304897
0.0703125 0.117188 0.230848
0.078125 0.117188 0.256007
0.0703125 0.125 0.231556
0.078125 0.125 0.256792
0.0859375 0.117188 0.281012
0.09375 0.117188 0.305847
0.0859375 0.125 0.281874
0.09375 0.125 0.306785
0.101562 0.101562 0.328432
0.109375 0.101562 0.352732
0.101562 0.109375 0.329472
0.109375 0.109375 0.353848
0.117188 0.101562 0.376819
0.125 0.101562 0.400679
0.117188 0.109375 0.378012
0.125 0.109375 0.401947
0.101562 0.117188 0.330499
0.109375 0.117188 0.354951
0.101562 0.125 0.331513
0.109375 0.125 0.35604
0.117188 0.117188 0.37919
0.125 0.117188 0.4032
0.117188 0.125 0.380353
0.125 0.125 0.404437
0.132812 0 0.405241
0.132812 0.0078125 0.406815
0.140625 0 0.427555
0.140625 0.0078125 0.429216
0.132812 0.015625 0.408371
0.140625 0.015625 0.430857
0.148438 0 0.449611
0.148438 0.0078125 0.451358
0.15625 0 0.471397
0.15625 0.0078125 0.473228
0.148438 0.015625 0.453083
0.15625 0.015625 0.475037
0.132812 0.0234375 0.409908
0.140625 0.0234375 0.432479
0.132812 0.03125 0.411427
0.140625 0.03125 0.434081
0.148438 0.0234375 0.454789
0.15625 0.0234375 0.476825
0.148438 0.03125 0.456474
0.15625 0.03125 0.478592
0.164062 0 0.492898
0.164062 0.0078125 0.494813
0.171875 0 0.514103
0.171875 0.0078125 0.5161
0.164062 0.015625 0.496704
0.171875 0.015625 0.518073
0.179688 0 0.534998
0.179688 0.0078125 0.537076
0.1875 0 0.55557
0.1875 0.0078125 0.557728
0.179688 0.015625 0.539129
0.1875 0.015625 0.55986
0.164062 0.0234375 0.498574
0.171875 0.0234375 0.520023
0.164062 0.03125 0.500422
0.171875 0.03125 0.52195
0.179688 0.0234375 0.541158
0.1875 0.0234375 0.561968
0.179688 0.03125 0.543164
0.1875 0.03125 0.56405
0.132812 0.0390625 0.412928
0.140625 0.0390625 0.435665
0.132812 0.046875 0.41441
0.140625 0.046875 0.437229
0.148438 0.0390625 0.458139
0.15625 0.0390625 0.480338
0.148438 0.046875 0.459784
0.15625 0.046875 0.482063
0.132812 0.0546875 0.415876
0.140625 0.0546875 0.438775
0.132812 0.0625 0.417323
0.140625 0.0625 0.440302
0.148438 0.0546875 0.46141
0.15625 0.0546875 0.483767
0.148438 0.0625 0.463016
0.15625 0.0625 0.48545
0.164062 0.0390625 0.502247
0.171875 0.0390625 0.523854
0.164062 0.046875 0.504051
0.171875 0.046875 0.525735
0.179688 0.0390625 0.545145
0.1875 0.0390625 0.566108
0.179688 0.046875 0.547103
0.1875 0.046875 0.568141
0.164062 0.0546875 0.505833
0.171875 0.0546875 0.527594
0.164062 0.0625 0.507593
0.171875 0.0625 0.52943
0.179688 0.0546875 0.549037
0.1875 0.0546875 0.570149
0.179688 0.0625 0.550947
0.1875 0.0625 0.572133
0.195312 0 0.575808
0.195312 0.0078125 0.578045
0.203125 0 0.595699
0.203125 0.0078125 0.598013
0.195312 0.015625 0.580255
0.203125 0.015625 0.600299
0.210938 0 0.615232
0.210938 0.0078125 0.617621
0.21875 0 0.634393
0.21875 0.0078125 0.636857
0.210938 0.015625 0.619983
0.21875 0.015625 0.639292
0.195312 0.0234375 0.582439
0.203125 0.0234375 0.602559
0.195312 0.03125 0.584597
0.203125 0.03125 0.604792
0.210938 0.0234375 0.622316
0.21875 0.0234375 0.641699
0.210938 0.03125 0.624622
0.21875 0.03125 0.644076
0.226562 0 0.653173
0.226562 0.0078125 0.65571
0.234375 0 0.671559
0.234375 0.0078125 0.674167
0.226562 0.015625 0.658217
0.234375 0.015625 0.676745
0.242188 0 0.689541
0.242188 0.0078125 0.692219
0.25 0 0.707107
0.25 0.0078125 0.709853
0.242188 0.015625 0.694865
0.25 0.015625 0.712567
0.226562 0.0234375 0.660694
0.234375 0.0234375 0.679292
0.226562 0.03125 0.663143
0.234375 0.03125 0.681809
0.242188 0.0234375 0.697481
0.25 0.0234375 0.715249
0.242188 0.03125 0.700065
0.25 0.03125 0.7179
0.195312 0.0390625 0.58673
0.203125 0.0390625 0.606998
0.195312 0.046875 0.588837
0.203125 0.046875 0.609178
0.210938 0.0390625 0.626901
0.21875 0.0390625 0.646426
0.210938 0.046875 0.629152
0.21875 0.046875 0.648747
0.195312 0.0546875 0.590918
0.203125 0.0546875 0.611331
0.195312 0.0625 0.592975
0.203125 0.0625 0.613459
0.210938 0.0546875 0.631376
0.21875 0.0546875 0.651041
0.210938 0.0625 0.633573
0.21875 0.0625 0.653306
0.226562 0.0390625 0.665562
0.234375 0.0390625 0.684297
0.226562 0.046875 0.667952
0.234375 0.046875 0.686754
0.242188 0.0390625 0.702619
0.25 0.0390625 0.720519
0.242188 0.046875 0.705142
0.25 0.046875 0.723106
0.226562 0.0546875 0.670313
0.234375 0.0546875 0.689182
0.226562 0.0625 0.672646
0.234375 0.0625 0.69158
0.242188 0.0546875 0.707635
0.25 0.0546875 0.725662
0.242188 0.0625 0.710098
0.25 0.0625 0.728188
0.132812 0.0703125 0.418752
0.140625 0.0703125 0.44181
0.132812 0.078125 0.420165
0.140625 0.078125 0.4433
0.148438 0.0703125 0.464602
0.15625 0.0703125 0.487114
0.148438 0.078125 0.466169
0.15625 0.078125 0.488756
0.132812 0.0859375 0.421559
0.140625 0.0859375 0.444772
0.132812 0.09375 0.422937
0.140625 0.09375 0.446225
0.148438 0.0859375 0.467716
0.15625 0.0859375 0.490379
0.148438 0.09375 0.469244
0.15625 0.09375 0.491981
0.164062 0.0703125 0.509332
