x t u
0 0 0
0.0625 0 0.19509
0 0.0625 0
0.0625 0.0625 0.200941
0.125 0 0.382683
0.125 0.0625 0.39416
0 0.125 0
0.0625 0.125 0.206228
0.125 0.125 0.40453
0.1875 0 0.55557
0.1875 0.0625 0.572231
0.25 0 0.707107
0.25 0.0625 0.728312
0.1875 0.125 0.587286
0.25 0.125 0.747474
0 0.1875 0
0.0625 0.1875 0.210995
0.125 0.1875 0.413881
0 0.25 0
0.0625 0.25 0.215263
0.125 0.25 0.422255
0.1875 0.1875 0.600862
0.25 0.1875 0.764753
0.1875 0.25 0.613019
0.25 0.25 0.780225
0.3125 0 0.83147
0.3125 0.0625 0.856405
0.375 0 0.92388
0.375 0.0625 0.951586
0.3125 0.125 0.878936
0.375 0.125 0.976622
0.4375 0 0.980785
0.4375 0.0625 1.0102
0.5 0 1
0.5 0.0625 1.02999
0.4375 0.125 1.03678
0.5 0.125 1.05709
0.3125 0.1875 0.899254
0.375 0.1875 0.999197
0.3125 0.25 0.917447
0.375 0.25 1.01941
0.4375 0.1875 1.06074
0.5 0.1875 1.08152
0.4375 0.25 1.0822
0.5 0.25 1.1034
0 0.3125 0
0.0625 0.3125 0.219074
0.125 0.3125 0.429729
0 0.375 0
0.0625 0.375 0.222437
0.125 0.375 0.436326
0.1875 0.3125 0.62387
0.25 0.3125 0.794036
0.1875 0.375 0.633447
0.25 0.375 0.806225
0 0.4375 0
0.0625 0.4375 0.225395
0.125 0.4375 0.442127
0 0.5 0
0.0625 0.5 0.227947
0.125 0.5 0.447135
0.1875 0.4375 0.641869
0.25 0.4375 0.816945
0.1875 0.5 0.649139
0.25 0.5 0.826197
0.3125 0.3125 0.933687
0.375 0.3125 1.03746
0.3125 0.375 0.94802
0.375 0.375 1.05338
0.4375 0.3125 1.10136
0.5 0.3125 1.12294
0.4375 0.375 1.11827
0.5 0.375 1.14017
0.3125 0.4375 0.960625
0.375 0.4375 1.06739
0.3125 0.5 0.971505
0.375 0.5 1.07948
0.4375 0.4375 1.13313
0.5 0.4375 1.15533
0.4375 0.5 1.14597
0.5 0.5 1.16842
0.5625 0 0.980785
0.5625 0.0625 1.0102
0.625 0 0.92388
0.625 0.0625 0.951586
0.5625 0.125 1.03678
0.625 0.125 0.976622
0.6875 0 0.83147
0.6875 0.0625 0.856405
0.75 0 0.707107
0.75 0.0625 0.728312
0.6875 0.125 0.878936
0.75 0.125 0.747474
0.5625 0.1875 1.06074
0.625 0.1875 0.999197
0.5625 0.25 1.0822
0.625 0.25 1.01941
0.6875 0.1875 0.899254
0.75 0.1875 0.764753
0.6875 0.25 0.917447
0.75 0.25 0.780225
0.8125 0 0.55557
0.8125 0.0625 0.572231
0.875 0 0.382683
0.875 0.0625 0.39416
0.8125 0.125 0.587286
0.875 0.125 0.40453
0.9375 0 0.19509
0.9375 0.0625 0.200941
1 0 1.22465e-16
1 0.0625 1.26115e-16
0.9375 0.125 0.206228
1 0.125 1.29426e-16
0.8125 0.1875 0.600862
0.875 0.1875 0.413881
0.8125 0.25 0.613019
0.875 0.25 0.422255
0.9375 0.1875 0.210995
1 0.1875 1.32413e-16
0.9375 0.25 0.215263
1 0.25 1.35093e-16
0.5625 0.3125 1.10136
0.625 0.3125 1.03746
0.5625 0.375 1.11827
0.625 0.375 1.05338
0.6875 0.3125 0.933687
0.75 0.3125 0.794036
0.6875 0.375 0.94802
0.75 0.375 0.806225
0.5625 0.4375 1.13313
0.625 0.4375 1.06739
0.5625 0.5 1.14597
0.625 0.5 1.07948
0.6875 0.4375 0.960625
0.75 0.4375 0.816945
0.6875 0.5 0.971505
0.75 0.5 0.826197
0.8125 0.3125 0.62387
0.875 0.3125 0.429729
0.8125 0.375 0.633447
0.875 0.375 0.436326
0.9375 0.3125 0.219074
1 0.3125 1.37484e-16
0.9375 0.375 0.222437
1 0.375 1.39599e-16
0.8125 0.4375 0.641869
0.875 0.4375 0.442127
0.8125 0.5 0.649139
0.875 0.5 0.447135
0.9375 0.4375 0.225395
1 0.4375 1.41455e-16
0.9375 0.5 0.227947
1 0.5 1.43063e-16
0 0.5625 0
0.0625 0.5625 0.230144
0.125 0.5625 0.451444
0 0.625 0
0.0625 0.625 0.231972
0.125 0.625 0.455029
0.1875 0.5625 0.655395
0.25 0.5625 0.83416
0.1875 0.625 0.6606
0.25 0.625 0.840784
0 0.6875 0
0.0625 0.6875 0.233491
0.125 0.6875 0.45801
0 0.75 0
0.0625 0.75 0.234671
0.125 0.75 0.460323
0.1875 0.6875 0.664927
0.25 0.6875 0.846291
0.1875 0.75 0.668286
0.25 0.75 0.850566
0.3125 0.5625 0.980868
0.375 0.5625 1.08988
0.3125 0.625 0.988658
0.375 0.625 1.09854
0.4375 0.5625 1.15701
0.5 0.5625 1.17968
0.4375 0.625 1.1662
0.5 0.625 1.18905
