x t u
0 0 0
0.015625 0 0.0490677
0 0.015625 0
0.015625 0.015625 0.0494467
0.03125 0 0.0980171
0.03125 0.015625 0.0987743
0 0.03125 0
0.015625 0.03125 0.0498168
0.03125 0.03125 0.0995137
0.046875 0 0.14673
0.046875 0.015625 0.147864
0.0625 0 0.19509
0.0625 0.015625 0.196597
0.046875 0.03125 0.148971
0.0625 0.03125 0.198069
0 0.046875 0
0.015625 0.046875 0.0501782
0.03125 0.046875 0.100236
0 0.0625 0
0.015625 0.0625 0.0505309
0.03125 0.0625 0.10094
0.046875 0.046875 0.150051
0.0625 0.046875 0.199506
0.046875 0.0625 0.151106
0.0625 0.0625 0.200908
0.078125 0 0.24298
0.078125 0.015625 0.244857
0.09375 0 0.290285
0.09375 0.015625 0.292527
0.078125 0.03125 0.24669
0.09375 0.03125 0.294717
0.109375 0 0.33689
0.109375 0.015625 0.339492
0.125 0 0.382683
0.125 0.015625 0.38564
0.109375 0.03125 0.342034
0.125 0.03125 0.388526
0.078125 0.046875 0.24848
0.09375 0.046875 0.296855
0.078125 0.0625 0.250226
0.09375 0.0625 0.298941
0.109375 0.046875 0.344515
0.125 0.046875 0.391345
0.109375 0.0625 0.346936
0.125 0.0625 0.394095
0 0.078125 0
0.015625 0.078125 0.0508751
0.03125 0.078125 0.101628
0 0.09375 0
0.015625 0.09375 0.0512108
0.03125 0.09375 0.102298
0.046875 0.078125 0.152135
0.0625 0.078125 0.202277
0.046875 0.09375 0.153139
0.0625 0.09375 0.203611
0 0.109375 0
0.015625 0.109375 0.0515383
0.03125 0.109375 0.102952
0 0.125 0
0.015625 0.125 0.0518574
0.03125 0.125 0.10359
0.046875 0.109375 0.154118
0.0625 0.109375 0.204913
0.046875 0.125 0.155073
0.0625 0.125 0.206182
0.078125 0.078125 0.25193
0.09375 0.078125 0.300977
0.078125 0.09375 0.253593
0.09375 0.09375 0.302963
0.109375 0.078125 0.349299
0.125 0.078125 0.39678
0.109375 0.09375 0.351604
0.125 0.09375 0.399398
0.078125 0.109375 0.255214
0.09375 0.109375 0.304901
0.078125 0.125 0.256795
0.09375 0.125 0.306789
0.109375 0.109375 0.353852
0.125 0.109375 0.401952
0.109375 0.125 0.356044
0.125 0.125 0.404441
0.140625 0 0.427555
0.140625 0.015625 0.430858
0.15625 0 0.471397
0.15625 0.015625 0.475038
0.140625 0.03125 0.434083
0.15625 0.03125 0.478594
0.171875 0 0.514103
0.171875 0.015625 0.518074
0.1875 0 0.55557
0.1875 0.015625 0.559862
0.171875 0.03125 0.521952
0.1875 0.03125 0.564053
0.140625 0.046875 0.437232
0.15625 0.046875 0.482066
0.140625 0.0625 0.440305
0.15625 0.0625 0.485454
0.171875 0.046875 0.525739
0.1875 0.046875 0.568145
0.171875 0.0625 0.529434
0.1875 0.0625 0.572138
0.203125 0 0.595699
0.203125 0.015625 0.600301
0.21875 0 0.634393
0.21875 0.015625 0.639294
0.203125 0.03125 0.604795
0.21875 0.03125 0.644079
0.234375 0 0.671559
0.234375 0.015625 0.676747
0.25 0 0.707107
0.25 0.015625 0.712569
0.234375 0.03125 0.681812
0.25 0.03125 0.717903
0.203125 0.046875 0.609182
0.21875 0.046875 0.648752
0.203125 0.0625 0.613464
0.21875 0.0625 0.653311
0.234375 0.046875 0.686759
0.25 0.046875 0.723111
0.234375 0.0625 0.691585
0.25 0.0625 0.728193
0.140625 0.078125 0.443304
0.15625 0.078125 0.488761
0.140625 0.09375 0.446229
0.15625 0.09375 0.491986
0.171875 0.078125 0.53304
0.1875 0.078125 0.576035
0.171875 0.09375 0.536557
0.1875 0.09375 0.579836
0.140625 0.109375 0.449083
0.15625 0.109375 0.495132
0.140625 0.125 0.451864
0.15625 0.125 0.498198
0.171875 0.109375 0.539988
0.1875 0.109375 0.583543
0.171875 0.125 0.543332
0.1875 0.125 0.587157
0.203125 0.078125 0.617642
0.21875 0.078125 0.657761
0.203125 0.09375 0.621718
0.21875 0.09375 0.662102
0.234375 0.078125 0.696296
0.25 0.078125 0.733153
0.234375 0.09375 0.700891
0.25 0.09375 0.737991
0.203125 0.109375 0.625693
0.21875 0.109375 0.666335
0.203125 0.125 0.629568
0.21875 0.125 0.670462
0.234375 0.109375 0.705372
0.25 0.109375 0.74271
0.234375 0.125 0.709741
0.25 0.125 0.747309
0 0.140625 0
0.015625 0.140625 0.0521686
0.03125 0.140625 0.104211
0 0.15625 0
0.015625 0.15625 0.0524717
0.03125 0.15625 0.104817
0.046875 0.140625 0.156003
0.0625 0.140625 0.207419
0.046875 0.15625 0.15691
0.0625 0.15625 0.208624
0 0.171875 0
0.015625 0.171875 0.0527669
0.03125 0.171875 0.105407
0 0.1875 0
0.015625 0.1875 0.0530543
0.03125 0.1875 0.105981
0.046875 0.171875 0.157793
0.0625 0.171875 0.209798
0.046875 0.1875 0.158652
0.0625 0.1875 0.210941
0.078125 0.140625 0.258336
0.09375 0.140625 0.30863
0.078125 0.15625 0.259836
0.09375 0.15625 0.310423
0.109375 0.140625 0.35818
0.125 0.140625 0.406868
0.109375 0.15625 0.360261
0.125 0.15625 0.409231
0.078125 0.171875 0.261299
0.09375 0.171875 0.312169
0.078125 0.1875 0.262722
0.09375 0.1875 0.31387
0.109375 0.171875 0.362288
0.125 0.171875 0.411534
0.109375 0.1875 0.364262
0.125 0.1875 0.413776
0 0.203125 0
0.015625 0.203125 0.0533342
0.03125 0.203125 0.10654
0 0.21875 0
0.015625 0.21875 0.0536063
0.03125 0.21875 0.107084
0.046875 0.203125 0.159489
0.0625 0.203125 0.212054
0.046875 0.21875 0.160303
0.0625 0.21875 0.213136
0 0.234375 0
0.015625 0.234375 0.0538711
0.03125 0.234375 0.107612
0 0.25 0
0.015625 0.25 0.0541285
0.03125 0.25 0.108127
0.046875 0.234375 0.161095
0.0625 0.234375 0.214189
0.046875 0.25 0.161864
0.0625 0.25 0.215212
0.078125 0.203125 0.264108
0.09375 0.203125 0.315525
0.078125 0.21875 0.265455
0.09375 0.21875 0.317135
0.109375 0.203125 0.366183
0.125 0.203125 0.415958
0.109375 0.21875 0.368052
0.125 0.21875 0.418081
0.078125 0.234375 0.266767
0.09375 0.234375 0.318702
0.078125 0.25 0.268041
0.09375 0.25 0.320224
0.109375 0.234375 0.36987
0.125 0.234375 0.420146
0.109375 0.25 0.371636
0.125 0.25 0.422153
0.140625 0.140625 0.454575
0.15625 0.140625 0.501187
0.140625 0.15625 0.457216
0.15625 0.15625 0.504099
0.171875 0.140625 0.546592
0.1875 0.140625 0.59068
0.171875 0.15625 0.549768
0.1875 0.15625 0.594112
0.140625 0.171875 0.459789
0.15625 0.171875 0.506936
0.140625 0.1875 0.462293
0.15625 0.1875 0.509697
0.171875 0.171875 0.552861
0.1875 0.171875 0.597455
0.171875 0.1875 0.555873
0.1875 0.1875 0.600709
0.203125 0.140625 0.633345
0.21875 0.140625 0.674485
0.203125 0.15625 0.637025
0.21875 0.15625 0.678403
0.234375 0.140625 0.713999
0.25 0.140625 0.751793
0.234375 0.15625 0.718147
0.25 0.15625 0.756161
0.203125 0.171875 0.64061
0.21875 0.171875 0.682221
0.203125 0.1875 0.644099
0.21875 0.1875 0.685937
0.234375 0.171875 0.722188
0.25 0.171875 0.760416
0.234375 0.1875 0.726122
0.25 0.1875 0.764558
0.140625 0.203125 0.464732
0.15625 0.203125 0.512385
0.140625 0.21875 0.467103
0.15625 0.21875 0.515
0.171875 0.203125 0.558805
0.1875 0.203125 0.603878
0.171875 0.21875 0.561656
0.1875 0.21875 0.606959
0.140625 0.234375 0.46941
0.15625 0.234375 0.517544
0.140625 0.25 0.471653
0.15625 0.25 0.520016
0.171875 0.234375 0.564431
0.1875 0.234375 0.609958
0.171875 0.25 0.567127
0.1875 0.25 0.612871
0.203125 0.203125 0.647496
0.21875 0.203125 0.689555
0.203125 0.21875 0.6508
0.21875 0.21875 0.693073
0.234375 0.203125 0.729952
0.25 0.203125 0.768591
0.234375 0.21875 0.733677
0.25 0.21875 0.772513
0.203125 0.234375 0.654015
0.21875 0.234375 0.696497
0.203125 0.25 0.657139
0.21875 0.25 0.699824
0.234375 0.234375 0.737301
0.25 0.234375 0.776329
0.234375 0.25 0.740823
0.25 0.25 0.780037
0.265625 0 0.740951
0.265625 0.015625 0.746675
0.28125 0 0.77301
0.28125 0.015625 0.778982
0.265625 0.03125 0.752264
0.28125 0.03125 0.784813
0.296875 0 0.803208
0.296875 0.015625 0.809412
0.3125 0 0.83147
0.3125 0.015625 0.837893
0.296875 0.03125 0.815471
0.3125 0.03125 0.844165
0.265625 0.046875 0.757721
0.28125 0.046875 0.790506
0.265625 0.0625 0.763047
0.28125 0.0625 0.796062
0.296875 0.046875 0.821387
0.3125 0.046875 0.850288
0.296875 0.0625 0.82716
0.3125 0.0625 0.856265
0.328125 0 0.857729
0.328125 0.015625 0.864355
0.34375 0 0.881921
