x y t u
0.25 0.125 0.03125 0.701802
0.21875 0.09375 0.0625 0.660336
0.25 0.09375 0.0625 0.674151
0.21875 0.125 0.0625 0.673853
0.25 0.125 0.0625 0.688245
0.15625 0 0.09375 0.583953
0.15625 0.03125 0.09375 0.597536
0.1875 0 0.09375 0.595605
0.1875 0.03125 0.09375 0.60974
0.15625 0.0625 0.09375 0.611037
0.1875 0.0625 0.09375 0.623804
0.15625 0 0.125 0.578377
0.15625 0.03125 0.125 0.59253
0.1875 0 0.125 0.58913
0.1875 0.03125 0.125 0.603819
0.15625 0.0625 0.125 0.606674
0.1875 0.0625 0.125 0.618514
0.21875 0 0.09375 0.60701
0.21875 0.03125 0.09375 0.621698
0.25 0 0.09375 0.618113
0.25 0.03125 0.09375 0.633349
0.21875 0.0625 0.09375 0.636325
0.25 0.0625 0.09375 0.648536
0.21875 0 0.125 0.599587
0.21875 0.03125 0.125 0.614808
0.25 0 0.125 0.609695
0.25 0.03125 0.125 0.625439
0.21875 0.0625 0.125 0.630048
0.25 0.0625 0.125 0.641217
0.15625 0.09375 0.09375 0.624403
0.1875 0.09375 0.09375 0.637739
0.15625 0.125 0.09375 0.637572
0.1875 0.125 0.09375 0.651483
0.15625 0.09375 0.125 0.620759
0.1875 0.09375 0.125 0.633159
0.15625 0.125 0.125 0.634727
0.1875 0.125 0.125 0.647697
0.21875 0.09375 0.09375 0.650831
0.25 0.09375 0.09375 0.66361
0.21875 0.125 0.09375 0.665151
0.25 0.125 0.09375 0.678504
0.21875 0.09375 0.125 0.645251
0.25 0.09375 0.125 0.656971
0.21875 0.125 0.125 0.660356
0.25 0.125 0.125 0.672635
0 0.15625 0 0.595003
0.03125 0.15625 0 0.611708
0 0.15625 0.03125 0.585003
0.03125 0.15625 0.03125 0.601026
0.0625 0.15625 0 0.628607
0.0625 0.15625 0.03125 0.617208
0 0.1875 0 0.602353
0.03125 0.1875 0 0.61948
0 0.1875 0.03125 0.593178
0.03125 0.1875 0.03125 0.609656
0.0625 0.1875 0 0.636816
0.0625 0.1875 0.03125 0.626313
0 0.15625 0.0625 0.578902
0.03125 0.15625 0.0625 0.594273
0.0625 0.15625 0.0625 0.609758
0 0.1875 0.0625 0.587917
0.03125 0.1875 0.0625 0.603776
0.0625 0.1875 0.0625 0.619766
0.09375 0.15625 0 0.645649
0.09375 0.15625 0.03125 0.633503
0.125 0.15625 0 0.662783
0.125 0.15625 0.03125 0.649857
0.09375 0.1875 0 0.654313
0.09375 0.1875 0.03125 0.643098
0.125 0.1875 0 0.671916
0.125 0.1875 0.03125 0.659958
0.09375 0.15625 0.0625 0.625308
0.125 0.15625 0.0625 0.640871
0.09375 0.1875 0.0625 0.635837
0.125 0.1875 0.0625 0.651935
0 0.21875 0 0.609161
0.03125 0.21875 0 0.626683
0 0.21875 0.03125 0.600878
0.03125 0.21875 0.03125 0.617793
0.0625 0.21875 0 0.64443
0.0625 0.21875 0.03125 0.634902
0 0.25 0 0.615385
0.03125 0.25 0 0.633271
0 0.25 0.03125 0.608057
0.03125 0.25 0.03125 0.625384
0.0625 0.25 0 0.651399
0.0625 0.25 0.03125 0.642923
0 0.21875 0.0625 0.596521
0.03125 0.21875 0.0625 0.612854
0.0625 0.21875 0.0625 0.629334
0 0.25 0.0625 0.604666
0.03125 0.25 0.0625 0.621454
0.0625 0.25 0.0625 0.638406
0.09375 0.21875 0 0.662354
0.09375 0.21875 0.03125 0.652158
0.125 0.21875 0 0.680399
0.125 0.21875 0.03125 0.669502
0.09375 0.25 0 0.669719
0.09375 0.25 0.03125 0.660623
0.125 0.25 0 0.688172
0.125 0.25 0.03125 0.678427
0.09375 0.21875 0.0625 0.645912
0.125 0.21875 0.0625 0.66253
0.09375 0.25 0.0625 0.655471
0.125 0.25 0.0625 0.672591
0 0.15625 0.09375 0.576695
0.03125 0.15625 0.09375 0.591442
0.0625 0.15625 0.09375 0.606247
0 0.1875 0.09375 0.586568
0.03125 0.1875 0.09375 0.601831
0.0625 0.1875 0.09375 0.617167
0 0.15625 0.125 0.578377
0.03125 0.15625 0.125 0.59253
0.0625 0.15625 0.125 0.606675
0 0.1875 0.125 0.58913
0.03125 0.1875 0.125 0.60382
0.0625 0.1875 0.125 0.618515
0.09375 0.15625 0.09375 0.62106
0.125 0.15625 0.09375 0.635825
0.09375 0.1875 0.09375 0.632524
0.125 0.1875 0.09375 0.647846
0.09375 0.15625 0.125 0.62076
0.125 0.15625 0.125 0.634728
0.09375 0.1875 0.125 0.633161
